date,SHEC.ci,CFAC.ci,CIEC.ci,SIVC.ci,UNXC.ci,SDSC.ci,BOAB.bj,ONTBF.bf,SLBC.ci,SNTS.sn
2022-03-01,860.0,1105.0,1950.0,960.0,2040.0,2760.0,5400.0,3940.0,144300.0,13950.0
2022-04-01,845.0,1185.0,1900.0,950.0,2010.0,2575.0,5395.0,3880.0,144000.0,13945.0
2022-05-01,865.0,1190.0,1900.0,900.0,2000.0,2565.0,5395.0,3900.0,145000.0,13950.0
2022-06-01,865.0,1250.0,1900.0,875.0,1950.0,2560.0,5300.0,3900.0,,13985.0
2022-07-01,845.0,1240.0,1895.0,880.0,1950.0,2370.0,5300.0,3940.0,150000.0,13950.0
2022-10-01,845.0,1200.0,1895.0,835.0,1905.0,2530.0,5300.0,3965.0,154000.0,13990.0
2022-11-01,835.0,1200.0,1900.0,775.0,1930.0,2480.0,5215.0,3960.0,154000.0,13990.0
2022-12-01,890.0,1200.0,1800.0,830.0,2000.0,2475.0,5300.0,3990.0,,13900.0
2022-01-13,830.0,1200.0,1935.0,880.0,2000.0,2400.0,5300.0,4190.0,,13900.0
2022-01-14,870.0,1230.0,1950.0,830.0,2010.0,2345.0,5205.0,4000.0,154000.0,13970.0
2022-01-17,845.0,1230.0,1990.0,815.0,2000.0,2340.0,5100.0,3980.0,156000.0,13900.0
2022-01-18,830.0,1235.0,1960.0,780.0,2000.0,2300.0,5100.0,4000.0,,13990.0
2022-01-19,830.0,1235.0,2000.0,815.0,1975.0,2345.0,5105.0,4000.0,156000.0,13990.0
2022-01-20,850.0,1235.0,1950.0,875.0,2015.0,2265.0,5300.0,4000.0,157000.0,13940.0
2022-01-21,845.0,1230.0,1900.0,875.0,2020.0,2100.0,5250.0,4000.0,157000.0,13990.0
2022-01-24,835.0,1140.0,1900.0,875.0,2000.0,2100.0,5200.0,4075.0,157995.0,13900.0
2022-01-25,835.0,1120.0,1955.0,875.0,2005.0,2255.0,5200.0,4065.0,157000.0,13950.0
2022-01-26,845.0,1125.0,1955.0,875.0,2015.0,2255.0,5200.0,4095.0,157980.0,13905.0
2022-01-27,860.0,1200.0,1995.0,875.0,2015.0,2350.0,5195.0,3990.0,157980.0,13975.0
2022-01-28,860.0,1250.0,2010.0,925.0,2025.0,2345.0,5150.0,4050.0,157250.0,13900.0
2022-01-31,860.0,1250.0,2160.0,875.0,,2300.0,5150.0,4050.0,165000.0,13975.0
2022-01-02,895.0,1200.0,2060.0,875.0,2025.0,2300.0,,4010.0,165000.0,14000.0
2022-02-02,890.0,1205.0,2070.0,900.0,2005.0,2450.0,,4080.0,165000.0,13980.0
2022-03-02,900.0,1165.0,2100.0,900.0,2050.0,2500.0,,4100.0,167000.0,14045.0
